hero_names,Powers
Moonstone,"Durability,Flight,Super Strength,Energy Blasts,Super Speed,Intangibility,Molecular Manipulation,Light Control"
Morlun,"Agility,Durability,Super Strength,Stamina,Super Speed,Immortality,Reflexes"
Moses Magnum,Seismic Power
Mr Immortal,"Accelerated Healing,Longevity,Immortality"
Mr Incredible,"Durability,Super Strength,Stamina,Super Speed,Enhanced Senses,Jump,Invulnerability"
Ms Marvel II,"Durability,Super Strength"
Multiple Man,Duplication
Mysterio,"Weapons Master,Intelligence,Stamina,Weapon-based Powers,Magic,Jump,Peak Human Condition,Animation,Hypnokinesis,Power Suit,Illusions,Sonar,Web Creation"
Mystique,"Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Stamina,Shapeshifting,Molecular Manipulation,Toxin and Disease Resistance,Telepathy Resistance"
Namor,"Agility,Accelerated Healing,Cold Resistance,Durability,Flight,Underwater breathing,Longevity,Intelligence,Super Strength,Telepathy,Stamina,Super Speed,Enhanced Senses,Reflexes,Animal Control,Sub-Mariner,Radiation Absorption"
Namora,"Accelerated Healing,Durability,Flight,Underwater breathing,Longevity,Super Strength,Telepathy,Stamina,Super Speed,Reflexes"
Namorita,"Agility,Accelerated Healing,Durability,Flight,Longevity,Super Strength,Stamina,Super Speed,Reflexes"
Naruto Uzumaki,"Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Longevity,Super Strength,Duplication,Stamina,Super Speed,Teleportation,Magic,Shapeshifting,Camouflage,Fire Control,Energy Constructs,Empathy,Heat Generation,Energy Manipulation,Enhanced Smell,Wallcrawling,Weather Control"
Nathan Petrelli,Flight
Nebula,"Durability,Marksmanship,Super Strength"
Negasonic Teenage Warhead,"Telepathy,Precognition"
Nick Fury,"Weapons Master,Longevity"
Nightcrawler,"Agility,Stealth,Teleportation,Camouflage,Reflexes,Wallcrawling,Vision - Night"
Nightwing,"Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Weapon-based Powers,Peak Human Condition"
Niki Sanders,Super Strength
Nina Theroux,"Psionic Powers,Mind Control"
Northstar,"Durability,Super Speed,Reflexes,Molecular Manipulation,Illumination"
Nova,"Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Stamina,Super Speed,Energy Beams,Fire Control,Reflexes,Invulnerability,Fire Resistance,Nova Force,Heat Generation,Light Control,Energy Manipulation,Heat Resistance,Vision - Telescopic,Vision - Night,Vision - Infrared,Vision - X-Ray,Vision - Thermal"
Odin,"Agility,Accelerated Healing,Durability,Stealth,Energy Absorption,Longevity,Intelligence,Super Strength,Cryokinesis,Telepathy,Energy Blasts,Size Changing,Stamina,Super Speed,Teleportation,Telekinesis,Magic,Shapeshifting,Reflexes,Invulnerability,Force Fields,Precognition,Energy Manipulation,Time Travel,Illusions,Omnilingualism,Time Manipulation,Invisibility,Matter Absorption,Weather Control,Odin Force"
Offspring,"Cold Resistance,Size Changing,Density Control,Shapeshifting,Immortality,Invulnerability,Elasticity,Heat Resistance,Telepathy Resistance,Mind Control Resistance"
Omniscient,"Intelligence,Telepathy,Teleportation,Mind Blast,Telepathy Resistance,Mind Control Resistance"
One Punch Man,"Agility,Danger Sense,Super Strength,Stamina,Super Speed,Enhanced Senses,Reflexes,Invulnerability,Telepathy Resistance"
One-Above-All,"Agility,Accelerated Healing,Dimensional Awareness,Durability,Energy Absorption,Flight,Intelligence,Super Strength,Size Changing,Super Speed,Death Touch,Teleportation,Magic,Dimensional Travel,Immortality,Element Control,Phasing,Astral Projection,Invulnerability,Self-Sustenance,Precognition,Molecular Manipulation,Gravity Control,Energy Manipulation,Time Travel,Omnipotent,Time Manipulation,Invisibility,Reality Warping,Omnipresent,Omniscient"
Onslaught,"Dimensional Awareness,Flight,Intelligence,Super Strength,Telepathy,Size Changing,Astral Travel,Telekinesis,Camouflage,Astral Projection,Invulnerability,Force Fields,Psionic Powers,Mind Control,Power Absorption,Intangibility,Mind Blast,Illusions,Telepathy Resistance,Magnetism,Vision - X-Ray,Reality Warping"
Oracle,Intelligence
Orion,"Agility,Accelerated Healing,Durability,Stealth,Flight,Marksmanship,Weapons Master,Intelligence,Super Strength,Energy Blasts,Stamina,Enhanced Senses,Magic,Immortality,Enhanced Hearing,Energy Manipulation,Enhanced Smell"
Osiris,"Durability,Flight,Intelligence,Super Strength,Stamina,Super Speed,Clairvoyance,Dimensional Travel,Invulnerability,Self-Sustenance"
Overtkill,"Super Strength,Super Speed,Enhanced Senses"
Ozymandias,"Agility,Stealth,Intelligence,Stamina,Peak Human Condition,Enhanced Memory,Reflexes,Omnilingualism"
Parademon,"Flight,Super Strength,Shapeshifting,Fire Resistance,Heat Generation,Gliding,Power Suit,Natural Weapons,Super Breath"
Peek-a-Boo,Teleportation
Penance II,Energy Blasts
Penguin,Intelligence
Peter Petrelli,Power Absorption
Phantom,"Marksmanship,Peak Human Condition,Reflexes"
Phantom Girl,Phasing
Phoenix,"Agility,Energy Absorption,Telepathy,Telekinesis,Immortality,Astral Projection,Fire Control,Force Fields,Psionic Powers,Mind Control,Molecular Manipulation,Mind Blast,Levitation,Energy Manipulation,Illusions,Telepathy Resistance,Resurrection,Phoenix Force"
Plantman,"Durability,Stealth,Super Strength,Invulnerability,Plant Control"
Plastic Man,"Agility,Accelerated Healing,Durability,Stealth,Super Strength,Size Changing,Density Control,Shapeshifting,Immortality,Invulnerability,Elasticity,Telepathy Resistance"
Plastique,Energy Blasts
Poison Ivy,"Agility,Accelerated Healing,Marksmanship,Super Strength,Death Touch,Substance Secretion,Hypnokinesis,Toxin and Disease Control,Toxin and Disease Resistance,Plant Control"
Polaris,"Energy Absorption,Flight,Intelligence,Enhanced Senses,Force Fields,Molecular Manipulation,Energy Manipulation,Magnetism"
Power Girl,"Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Intelligence,Super Strength,Stamina,Super Speed,Enhanced Senses,Jump,Enhanced Memory,Reflexes,Invulnerability,Enhanced Hearing,Vision - Telescopic,Toxin and Disease Resistance,Vision - Microscopic,Super Breath,Vision - Night,Vision - Infrared,Vision - Heat,Vision - X-Ray,Vision - Thermal"
Predator,"Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Stamina,Jump,Camouflage,Reflexes,Power Suit,Natural Weapons,Cloaking,Toxin and Disease Resistance,Vision - Night,Vision - Infrared,Radar Sense,Vision - Thermal"
Professor X,"Intelligence,Telepathy,Possession,Power Sense,Astral Projection,Projection,Psionic Powers,Mind Control,Mind Blast,Illusions"
Professor Zoom,"Stamina,Super Speed,Phasing,Reflexes,Time Travel"
Proto-Goblin,"Agility,Durability,Super Strength,Natural Weapons"
Psylocke,"Agility,Stealth,Super Strength,Telepathy,Super Speed,Telekinesis,Astral Projection,Psionic Powers,Precognition,Mind Control,Illusions,Cloaking,Telepathy Resistance,Mind Control Resistance"
Punisher,"Agility,Durability,Stealth,Marksmanship,Weapons Master,Stamina,Weapon-based Powers,Peak Human Condition,Reflexes"
Purple Man,"Accelerated Healing,Telepathy,Substance Secretion,Mind Control,Hypnokinesis"
Pyro,Fire Control
Q,"Dimensional Awareness,Stealth,Intelligence,Teleportation,Telekinesis,Magic,Immortality,Phasing,Force Fields,Probability Manipulation,Gravity Control,Time Travel,Illusions,Time Manipulation,Reality Warping"
Quantum,Super Speed
Queen Hippolyta,"Agility,Durability,Intelligence,Super Strength,Stamina,Super Speed,Immortality,Self-Sustenance"
Question,"Agility,Intelligence"
Quicksilver,"Durability,Super Strength,Super Speed,Molecular Manipulation,Time Manipulation"
Quill,"Weapon-based Powers,Substance Secretion"
Ra's Al Ghul,"Agility,Durability,Longevity,Intelligence,Super Strength,Stamina,Super Speed,Weapon-based Powers"
Rachel Pirzad,"Enhanced Senses,Enhanced Hearing,Enhanced Smell,Vision - Telescopic,Enhanced Touch,Vision - Microscopic"
Rambo,"Agility,Stealth,Marksmanship,Weapons Master,Stamina"
Raphael,"Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Stamina,Jump,Reflexes,Natural Armor,Sub-Mariner"
Raven,"Flight,Teleportation,Telekinesis,Astral Projection,Empathy"
Ray,"Accelerated Healing,Durability,Stealth,Energy Absorption,Flight,Stamina,Super Speed,Energy Beams,Invulnerability,Energy Constructs,Force Fields,Elemental Transmogrification,Intangibility,Light Control,Illusions,Invisibility"
Razor-Fist II,"Weapon-based Powers,Peak Human Condition"
Reactron,"Energy Absorption,Energy Beams,Radiation Control,Power Suit,Radiation Absorption"
Red Arrow,"Agility,Stealth,Marksmanship,Weapons Master,Stamina"
Red Hood,"Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Peak Human Condition"
Red Hulk,"Accelerated Healing,Durability,Energy Absorption,Longevity,Super Strength,Stamina,Super Speed,Jump,Radiation Control,Radiation Immunity,Toxin and Disease Resistance,Radiation Absorption"
Red Mist,"Agility,Stamina"
Red Robin,"Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina"
Red Skull,Enhanced Memory
Red Tornado,"Agility,Flight,Super Strength,Stamina,Audio Control,Super Speed,Force Fields,Self-Sustenance,Technopath/Cyberpath,Enhanced Hearing,Regeneration,Invisibility,Wind Control,Resurrection"
Redeemer II,"Durability,Super Strength,Energy Blasts,Stamina,Teleportation,Energy Manipulation"
Redeemer III,"Durability,Flight,Super Strength,Stamina,Energy Manipulation"
Rey,"Agility,Stamina,Telekinesis,Mind Control,Mind Control Resistance,The Force"
Rhino,"Cold Resistance,Durability,Super Strength,Stamina,Super Speed,Natural Armor,Power Suit,Heat Resistance"
Rick Flag,Weapon-based Powers
Riddler,Intelligence
Rip Hunter,"Dimensional Awareness,Stealth,Weapons Master,Intelligence,Power Suit,Time Travel,Time Manipulation"
Ripcord,"Weapon-based Powers,Jump"
Robin,"Marksmanship,Weapons Master,Intelligence,Weapon-based Powers,Peak Human Condition"
Robin II,"Agility,Stealth,Marksmanship,Weapons Master,Stamina"
Robin III,"Agility,Stealth,Marksmanship,Weapons Master,Stamina,Weapon-based Powers"
Robin V,"Agility,Stealth,Weapons Master,Longevity,Reflexes"
Robin VI,"Agility,Stealth,Stamina"
Rocket Raccoon,"Agility,Cold Resistance,Marksmanship,Weapons Master,Animal Attributes,Animal Oriented Powers,Enhanced Senses,Enhanced Hearing,Enhanced Smell,Enhanced Touch,Vision - Night"
Rogue,"Energy Absorption,Power Absorption"
Rorschach,"Agility,Stealth,Weapons Master,Intelligence,Stamina"
SHDB,"Nova Force,Omnipotent,Power Cosmic,Sub-Mariner"
Sabretooth,"Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Reflexes,Enhanced Hearing,Enhanced Sight,Natural Weapons,Enhanced Smell,Toxin and Disease Resistance"
Sage,"Power Augmentation,Telepathy,Power Sense,Technopath/Cyberpath,Telepathy Resistance"
Sandman,"Agility,Super Strength,Size Changing,Density Control,Shapeshifting,Invulnerability,Natural Armor,Intangibility,Regeneration,Heat Resistance,Natural Weapons"
Sasquatch,"Agility,Durability,Super Strength,Stamina,Enhanced Senses,Jump"
Sauron,"Accelerated Healing,Weapons Master,Longevity,Intelligence,Super Strength,Energy Blasts,Size Changing,Stamina,Super Speed,Darkforce Manipulation,Magic,Shapeshifting,Immortality,Fire Control,Invulnerability,Enhanced Hearing,Enhanced Sight,Heat Generation,Resurrection,Weather Control"
Savage Dragon,"Accelerated Healing,Durability,Super Strength,Jump,Fire Resistance,Regeneration"
Scarecrow,"Psionic Powers,Insanity"
Scarlet Spider,"Agility,Accelerated Healing,Durability,Danger Sense,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Enhanced Senses,Jump,Reflexes,Natural Weapons,Wallcrawling,Vision - Night"
Scarlet Spider II,"Agility,Accelerated Healing,Durability,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Reflexes,Wallcrawling,Web Creation"
Scarlet Witch,"Agility,Dimensional Awareness,Flight,Longevity,Energy Blasts,Teleportation,Telekinesis,Magic,Astral Projection,Energy Constructs,Probability Manipulation,Levitation,Illusions,Reality Warping"
Scorpia,"Super Strength,Energy Blasts,Super Speed,Weapon-based Powers,Force Fields"
Scorpion,"Agility,Durability,Danger Sense,Super Strength,Super Speed,Weapon-based Powers,Reflexes,Power Suit,Wallcrawling"
Sebastian Shaw,"Agility,Durability,Energy Absorption,Super Strength,Energy Manipulation"
Sentry,"Agility,Accelerated Healing,Flight,Intelligence,Super Strength,Telepathy,Energy Blasts,Stamina,Super Speed,Enhanced Senses,Telekinesis,Immortality,Reflexes,Invulnerability,Force Fields,Enhanced Hearing,Molecular Manipulation,Light Control,Vision - Telescopic,Vision - Infrared,Resurrection,Vision - Thermal"
Shadow King,"Telepathy,Possession,Immortality,Astral Projection,Psionic Powers,Natural Weapons"
Shadow Lass,"Agility,Stealth,Flight,Intelligence,Super Speed,Darkforce Manipulation"
Shadowcat,"Stealth,Weapons Master,Intelligence,Camouflage,Phasing,Intangibility,Levitation,Cloaking,Telepathy Resistance"
Shang-Chi,"Agility,Durability,Stealth,Stamina,Reflexes,Toxin and Disease Resistance"
Shatterstar,"Agility,Accelerated Healing,Durability,Super Strength,Energy Blasts,Super Speed"
She-Hulk,"Accelerated Healing,Durability,Longevity,Intelligence,Super Strength,Stamina,Jump,Invulnerability"
She-Thing,"Cold Resistance,Durability,Super Strength,Heat Resistance"
Shocker,"Marksmanship,Weapons Master,Energy Blasts,Power Suit"
Shriek,"Flight,Energy Blasts,Audio Control,Telekinesis,Empathy,Psionic Powers,Levitation,Sonic Scream"
Sif,"Agility,Accelerated Healing,Durability,Weapons Master,Longevity,Super Strength,Stamina,Super Speed,Teleportation,Enhanced Senses,Dimensional Travel,Reflexes"
Silk,"Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Jump,Reflexes,Substance Secretion,Natural Weapons,Wallcrawling,Web Creation"
Silk Spectre,Peak Human Condition
Silk Spectre II,Peak Human Condition
Silver Surfer,"Agility,Dimensional Awareness,Durability,Energy Absorption,Flight,Marksmanship,Super Strength,Energy Blasts,Stamina,Super Speed,Teleportation,Immortality,Phasing,Invulnerability,Intangibility,Molecular Manipulation,Gravity Control,Energy Manipulation,Time Travel,Power Cosmic,Portal Creation"
Silverclaw,"Agility,Flight,Super Strength,Super Speed,Animal Oriented Powers,Enhanced Senses,Shapeshifting"
Simon Baz,"Agility,Accelerated Healing,Lantern Power Ring,Flight,Marksmanship,Super Strength,Energy Armor,Energy Blasts,Stamina,Super Speed,Energy Beams,Reflexes,Energy Constructs,Force Fields,Precognition"
Sinestro,"Agility,Durability,Flight,Marksmanship,Super Strength,Energy Blasts,Super Speed,Energy Constructs,Force Fields,Qwardian Power Ring"
Siren,"Cold Resistance,Durability,Stealth,Underwater breathing,Super Strength,Telepathy,Super Speed,Jump,Dimensional Travel,Reflexes,Enhanced Hearing,Water Control,Sub-Mariner,Vision - Night"
Siren II,"Underwater breathing,Super Strength,Stamina,Hypnokinesis"
Siryn,"Flight,Enhanced Hearing,Sonar,Sonic Scream"
Skaar,"Accelerated Healing,Super Strength,Stamina,Jump,Elemental Transmogrification"
Snowbird,"Accelerated Healing,Flight,Animal Attributes,Super Strength,Stamina,Animal Oriented Powers,Enhanced Senses,Shapeshifting,Precognition"
Sobek,"Durability,Super Strength"
Solomon Grundy,"Cold Resistance,Durability,Energy Absorption,Super Strength,Stamina,Invulnerability,Self-Sustenance,Fire Resistance,Toxin and Disease Resistance,Resurrection"
Songbird,"Agility,Durability,Flight,Super Strength,Stamina,Audio Control,Super Speed,Reflexes"
Space Ghost,"Agility,Flight,Weapons Master,Intelligence,Super Strength,Energy Blasts,Stamina,Phasing,Invulnerability,Force Fields,Heat Generation,Magnetism,Invisibility"
Spawn,"Agility,Durability,Stealth,Flight,Weapons Master,Super Strength,Telepathy,Stamina,Super Speed,Teleportation,Magic,Shapeshifting,Immortality,Invulnerability,Empathy,Power Suit,Resurrection,Symbiote Costume"
Spectre,"Agility,Accelerated Healing,Dimensional Awareness,Stealth,Energy Absorption,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Duplication,Size Changing,Density Control,Stamina,Super Speed,Possession,Electrokinesis,Darkforce Manipulation,Death Touch,Teleportation,Magic,Immortality,Phasing,Astral Projection,Fire Control,Invulnerability,Energy Constructs,Force Fields,Psionic Powers,Elasticity,Animation,Precognition,Hypnokinesis,Animal Control,Heat Generation,Gravity Control,Light Control,Levitation,Time Travel,Illusions,Water Control,Omnilingualism,Time Manipulation,Invisibility,Sub-Mariner,Vision - Heat,Reality Warping"
Speedball,"Energy Absorption,Energy Armor,Telekinesis,Force Fields"
Speedy,"Stealth,Marksmanship,Weapons Master,Stamina,Reflexes"
Spider-Girl,"Agility,Accelerated Healing,Stealth,Danger Sense,Intelligence,Super Strength,Stamina,Dexterity,Super Speed,Jump,Reflexes,Enhanced Hearing,Natural Weapons,Wallcrawling,Web Creation"
Spider-Gwen,"Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Jump,Reflexes,Substance Secretion,Wallcrawling,Web Creation"
Spider-Man,"Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Enhanced Senses,Jump,Reflexes,Substance Secretion,Natural Weapons,Toxin and Disease Resistance,Wallcrawling,Vision - Night,Web Creation"
Spider-Woman,"Agility,Durability,Flight,Super Strength,Energy Blasts,Stamina,Super Speed,Reflexes,Enhanced Hearing,Toxin and Disease Control,Toxin and Disease Resistance,Wallcrawling"
Spider-Woman III,"Agility,Flight,Super Strength,Telepathy,Energy Blasts,Stamina,Super Speed,Reflexes,Wallcrawling"
Spider-Woman IV,"Agility,Flight,Super Strength,Telepathy,Energy Blasts,Super Speed,Psionic Powers,Precognition,Power Absorption,Hypnokinesis,Wallcrawling"
Spock,"Stealth,Longevity,Intelligence,Super Strength,Telepathy,Stamina,Psionic Powers,Enhanced Hearing,Omnilingualism"
Spyke,"Accelerated Healing,Stamina,Natural Armor,Heat Generation,Natural Weapons,Wallcrawling"
Star-Lord,"Agility,Durability,Marksmanship,Weapons Master,Longevity,Intelligence,Stamina,Peak Human Condition"
Stardust,"Durability,Energy Absorption,Flight,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed,Energy Beams,Invulnerability,Force Fields,Self-Sustenance,Power Cosmic,Toxin and Disease Resistance"
Starfire,"Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Invulnerability,Omnilingualism"
Stargirl,"Agility,Durability,Energy Absorption,Super Strength,Energy Blasts,Stamina,Super Speed,Invulnerability,Energy Constructs,Force Fields,Heat Generation,Gravity Control,Light Control,Energy Manipulation"
Static,"Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Marksmanship,Intelligence,Energy Blasts,Electrokinesis,Enhanced Senses,Force Fields,Levitation,Energy Manipulation,Mind Control Resistance"
Steel,"Durability,Flight,Super Strength,Weapon-based Powers,Power Suit,Heat Resistance,Radiation Immunity"
Stephanie Powell,"Accelerated Healing,Super Speed"
Steppenwolf,"Agility,Accelerated Healing,Stealth,Weapons Master,Longevity,Intelligence,Super Strength,Stamina,Super Speed,Enhanced Senses,Immortality,Reflexes,Invulnerability,Toxin and Disease Resistance"
Storm,"Cold Resistance,Flight,Intelligence,Enhanced Senses,Empathy,Heat Resistance,Telepathy Resistance,Weather Control"
Stormtrooper,"Durability,Weapon-based Powers"
Stretch Armstrong,"Durability,Size Changing,Shapeshifting,Elasticity"
Sunspot,"Accelerated Healing,Flight,Super Strength,Energy Blasts,Stamina,Fire Control,Substance Secretion,Fire Resistance,Heat Generation,Light Control,Heat Resistance,Radiation Absorption"
Superboy,"Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Super Speed,Jump,Invulnerability,Force Fields,Enhanced Hearing,Vision - Telescopic,Super Breath,Vision - Heat,Vision - X-Ray"
Superboy-Prime,"Accelerated Healing,Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Stamina,Super Speed,Enhanced Senses,Jump,Invulnerability,Enhanced Hearing,Hypnokinesis,Power Suit,Enhanced Smell,Vision - Telescopic,Magic Resistance,Vision - Microscopic,Super Breath,Vision - Infrared,Vision - Heat,Vision - X-Ray"
Supergirl,"Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Flight,Intelligence,Super Strength,Stamina,Super Speed,Enhanced Senses,Jump,Enhanced Memory,Reflexes,Invulnerability,Enhanced Hearing,Hypnokinesis,Heat Resistance,Vision - Telescopic,Toxin and Disease Resistance,Vision - Microscopic,Super Breath,Vision - Night,Vision - Infrared,Vision - Heat,Vision - X-Ray,Vision - Thermal"
Superman,"Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Stamina,Super Speed,Enhanced Senses,Energy Beams,Jump,Enhanced Memory,Reflexes,Invulnerability,Fire Resistance,Enhanced Hearing,Hypnokinesis,Enhanced Sight,Heat Resistance,Enhanced Smell,Vision - Telescopic,Vision - Microscopic,Super Breath,Vision - Heat,Vision - X-Ray"
Swamp Thing,"Stealth,Flight,Longevity,Intelligence,Super Strength,Duplication,Size Changing,Immortality,Camouflage,Self-Sustenance,Natural Armor,Illusions,Plant Control,Resurrection"
Swarm,"Durability,Flight,Longevity,Intelligence,Super Strength,Size Changing,Animal Oriented Powers,Shapeshifting,Animal Control,Intangibility"
Sylar,"Cryokinesis,Telekinesis,Enhanced Memory,Radiation Control,Precognition,Enhanced Hearing,Intuitive aptitude,Melting"
Synch,Power Absorption
T-1000,"Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Size Changing,Stamina,Super Speed,Enhanced Senses,Shapeshifting,Camouflage,Enhanced Memory,Reflexes,Invulnerability,Technopath/Cyberpath,Fire Resistance,Enhanced Hearing,Regeneration,Heat Resistance,Natural Weapons,Enhanced Smell,Vision - Telescopic,Enhanced Touch,Melting,Vision - Night,Vision - Infrared,Vision - Thermal"
T-800,"Cold Resistance,Durability,Stealth,Weapons Master,Longevity,Super Strength,Stamina,Enhanced Memory,Invulnerability,Technopath/Cyberpath,Enhanced Hearing,Heat Resistance,Vision - Telescopic,Vision - Night,Vision - Infrared,Vision - Thermal"
T-850,"Accelerated Healing,Cold Resistance,Durability,Stealth,Weapons Master,Longevity,Super Strength,Stamina,Enhanced Memory,Invulnerability,Technopath/Cyberpath,Enhanced Hearing,Heat Resistance,Vision - Telescopic,Vision - Night,Vision - Infrared,Vision - Thermal"
T-X,"Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed,Enhanced Senses,Energy Beams,Shapeshifting,Camouflage,Enhanced Memory,Reflexes,Invulnerability,Technopath/Cyberpath,Fire Resistance,Enhanced Hearing,Regeneration,Heat Resistance,Natural Weapons,Enhanced Smell,Vision - Telescopic,Enhanced Touch,Vision - Microscopic,Vision - Night,Vision - Infrared,Vision - Thermal"
TEST,Natural Armor
Taskmaster,"Agility,Stealth,Marksmanship,Weapons Master,Stamina,Super Speed,Weapon-based Powers,Reflexes,Photographic Reflexes,Power Suit"
Tempest,"Flight,Cryokinesis,Fire Control,Force Fields,Wind Control"
Thanos,"Agility,Accelerated Healing,Cold Resistance,Durability,Flight,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Stamina,Super Speed,Teleportation,Enhanced Senses,Energy Beams,Magic,Immortality,Reflexes,Invulnerability,Force Fields,Molecular Manipulation,Energy Manipulation,Heat Resistance,Radiation Immunity,Toxin and Disease Resistance,Telepathy Resistance,Omnilingualism,Time Manipulation,Matter Absorption,Vision - Heat,Reality Warping"
The Cape,Weapon-based Powers
The Comedian,Weapons Master
Thing,"Cold Resistance,Durability,Longevity,Super Strength,Stamina,Invulnerability,Fire Resistance,Natural Armor,Heat Resistance"
Thor,"Agility,Accelerated Healing,Durability,Flight,Longevity,Super Strength,Stamina,Super Speed,Weapon-based Powers,Teleportation,Enhanced Senses,Magic,Element Control,Reflexes,Invulnerability,Toxin and Disease Resistance,Weather Control,Odin Force"
Thor Girl,"Durability,Super Strength,Stamina,Super Speed,Immortality,Reflexes,Invulnerability,Toxin and Disease Resistance"
Thunderbird,"Durability,Super Strength,Stamina,Super Speed"
Thunderbird III,"Energy Absorption,Flight,Energy Blasts,Natural Weapons"
Thunderstrike,"Accelerated Healing,Durability,Longevity,Super Strength,Stamina,Super Speed,Toxin and Disease Resistance"
Thundra,"Agility,Super Strength,Stamina,Super Speed,Reflexes"
Tiger Shark,"Agility,Accelerated Healing,Cold Resistance,Durability,Underwater breathing,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Reflexes,Natural Armor,Enhanced Sight,Natural Weapons,Enhanced Smell,Sub-Mariner"
Tigra,"Agility,Super Strength,Stamina,Super Speed,Enhanced Senses,Jump"
Tinkerer,Intelligence
Titan,"Flight,Super Strength,Super Speed"
Toad,"Agility,Accelerated Healing,Durability,Animal Attributes,Super Strength,Stamina,Animal Oriented Powers,Jump,Reflexes,Psionic Powers,Substance Secretion,Mind Control,Insanity,Toxin and Disease Control,Super Breath,Wallcrawling,Vision - Infrared"
Tommy Clarke,Teleportation
Toxin,"Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Super Strength,Size Changing,Stamina,Super Speed,Weapon-based Powers,Jump,Shapeshifting,Camouflage,Reflexes,Substance Secretion,Natural Armor,Natural Weapons,Wallcrawling,Web Creation,Symbiote Costume"
Tracy Strauss,"Cold Resistance,Cryokinesis"
Trickster,Flight
Trigon,"Accelerated Healing,Durability,Flight,Super Strength,Stamina,Teleportation,Telekinesis,Dimensional Travel,Fire Control,Reflexes,Mind Control,Heat Generation,Regeneration,Illusions"
Triplicate Girl,"Flight,Duplication"
Triton,"Agility,Cold Resistance,Durability,Underwater breathing,Super Strength,Stamina,Super Speed,Reflexes,Sub-Mariner"
Tyrant,"Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Energy Beams,Immortality,Invulnerability,Technopath/Cyberpath,Energy Manipulation,Omnipotent,Matter Absorption,Reality Warping"
Ultragirl,"Durability,Flight,Super Strength,Stamina,Super Speed,Enhanced Senses,Reflexes,Invulnerability"
Ultron,"Agility,Durability,Stealth,Energy Absorption,Flight,Super Strength,Energy Armor,Energy Blasts,Stamina,Super Speed,Enhanced Senses,Energy Beams,Immortality,Enhanced Memory,Force Fields,Radiation Control,Technopath/Cyberpath,Mind Control,Enhanced Hearing,Gravity Control,Vision - Telescopic,Radiation Absorption,Vision - Night,Vision - X-Ray,Vision - Thermal"
Utgard-Loki,"Durability,Longevity,Super Strength,Stamina,Magic,Invulnerability"
Valerie Hart,"Agility,Super Strength,Weapon-based Powers,Reflexes,Changing Armor"
Valkyrie,"Durability,Super Strength,Stamina,Toxin and Disease Resistance"
Vanisher,Teleportation
Vegeta,"Agility,Accelerated Healing,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed,Jump,Shapeshifting,Immortality,Fire Control,Reflexes,Invulnerability,Force Fields,Enhanced Hearing,Heat Generation,Adaptation,Light Control,Levitation,Radar Sense"
